,Commitername,commiterDate,Massege
0,Daniel McNamara,first Kaggle API commit,first Kaggle API commit
1,GitHub,Adding documentation,Adding documentation
2,GitHub,Fixing character escapes in Readme,Fixing character escapes in Readme
3,GitHub,Updating directory references,Updating directory references
4,GitHub,Updating installation info,Updating installation info
5,GitHub,Print warning message if user has unsafe permissions on api key,Print warning message if user has unsafe permissions on api key
6,GitHub,"Merge pull request #1 from mxbi/master

Print warning message if kaggle.json has unsafe permissions","Merge pull request #1 from mxbi/master

Print warning message if kaggle.json has unsafe permissions"
7,Daniel McNamara,"client side API modifications inc. better flag names, download all dataset files to zip, download to current working directory, check credentials file not readable by others on non-Windows systems","client side API modifications inc. better flag names, download all dataset files to zip, download to current working directory, check credentials file not readable by others on non-Windows systems"
8,Daniel McNamara,"client side API modifications inc. better flag names, download all dataset files to zip, download to current working directory, check credentials file not readable by others on non-Windows systems

	modified:   README.md","client side API modifications inc. better flag names, download all dataset files to zip, download to current working directory, check credentials file not readable by others on non-Windows systems

	modified:   README.md"
9,dpmcna,Merge branch 'master' of https://github.com/Kaggle/kaggle-api,Merge branch 'master' of https://github.com/Kaggle/kaggle-api
10,dpmcna,preparing Python package for release on PyPi,preparing Python package for release on PyPi
11,dpmcna,"better README, mostly Python 2 compatible","better README, mostly Python 2 compatible"
12,dpmcna,adding .gitignore,adding .gitignore
13,dpmcna,making sure unicode printed ok,making sure unicode printed ok
14,dpmcna,updating version number,updating version number
15,dpmcna,string conversion for Python 2 and 3,string conversion for Python 2 and 3
16,GitHub,Small tweaks to README.md,Small tweaks to README.md
17,GitHub,README updates,README updates
18,dpmcna,reordering competitions commands,reordering competitions commands
19,GitHub,Simplify the unicode logic to avoid bare exception,Simplify the unicode logic to avoid bare exception
20,GitHub,Update kaggle_api_extended.py,Update kaggle_api_extended.py
21,dpmcna,typo fix,typo fix
22,dpmcna,update version number,update version number
23,GitHub,"Merge pull request #4 from cclauss/patch-2

Thanks! This sounds resonable to me, no matter the nuances. I'm gonna merge this in now, hopefully this works given that we're internally maintaining a version on another repo :)","Merge pull request #4 from cclauss/patch-2

Thanks! This sounds resonable to me, no matter the nuances. I'm gonna merge this in now, hopefully this works given that we're internally maintaining a version on another repo :)"
24,Timo Bozsolik,API v1.1,API v1.1
25,GitHub,metadata.json -> datapackage.json,metadata.json -> datapackage.json
26,Rebecca Ysteboe,Update API to 1.2,Update API to 1.2
27,GitHub,Fix version,Fix version
28,Rebecca Ysteboe,API v1.3,API v1.3
29,Rebecca Ysteboe,Rename LICENSE.txt to LICENSE,Rename LICENSE.txt to LICENSE
30,Rebecca Ysteboe,Delete LICENSE,Delete LICENSE
31,Rebecca Ysteboe,Create LICENSE,Create LICENSE
32,Rebecca Ysteboe,Update README with License,Update README with License
33,Rebecca Ysteboe,Update API to v1.3.1,Update API to v1.3.1
34,Rebecca Ysteboe,Add license headers,Add license headers
35,Rebecca Ysteboe,Update API to v1.3.2,Update API to v1.3.2
36,Rebecca Ysteboe,Update API to v1.3.2.1,Update API to v1.3.2.1
37,Rebecca Ysteboe,Update installation instructions,Update installation instructions
38,Rebecca Ysteboe,"Update README.md

Fix path for download","Update README.md

Fix path for download"
39,Rebecca Ysteboe,"Update README.md

Fix path where files are downloaded","Update README.md

Fix path where files are downloaded"
40,Rebecca Ysteboe,Update README.md,Update README.md
41,Rebecca Ysteboe,Update README.md,Update README.md
42,Rebecca Ysteboe,Update API to to 1.3.3,Update API to to 1.3.3
43,Rebecca Ysteboe,Update API to 1.3.4,Update API to 1.3.4
44,Rebecca Ysteboe,"Update README.md

```kaggle datasets create``` does not have an ```-r``` flag, so it should be removed from the example","Update README.md

```kaggle datasets create``` does not have an ```-r``` flag, so it should be removed from the example"
45,Rebecca Ysteboe,Update API to 1.3.5,Update API to 1.3.5
46,Rebecca Ysteboe,Update API to 1.3.6,Update API to 1.3.6
47,Rebecca Ysteboe,Fix a path in a comment,Fix a path in a comment
48,Rebecca Ysteboe,Update API to 1.3.7,Update API to 1.3.7
49,Rebecca Ysteboe,Update API to 1.3.8,Update API to 1.3.8
50,Rebecca Ysteboe,Warn when there is nothing to download,Warn when there is nothing to download
51,Rebecca Ysteboe,Update API to 1.3.9,Update API to 1.3.9
52,Rebecca Ysteboe,Update API to 1.3.9,Update API to 1.3.9
53,Rebecca Ysteboe,Update API to 1.3.9.1,Update API to 1.3.9.1
54,Rebecca Ysteboe,limit urlib3's version to avoid requests issue,limit urlib3's version to avoid requests issue
55,Rebecca Ysteboe,Add explanatory comments that show this change as interim measures.,Add explanatory comments that show this change as interim measures.
56,Rebecca Ysteboe,Update API to 1.3.10,Update API to 1.3.10
57,Rebecca Ysteboe,Update README,Update README
58,Rebecca Ysteboe,dataset_initialize should return metadata file (and not nothing),dataset_initialize should return metadata file (and not nothing)
59,Rebecca Ysteboe,metadata creation needs to happen before creation,metadata creation needs to happen before creation
60,Rebecca Ysteboe,adding message to user that dataset creation takes time!,adding message to user that dataset creation takes time!
61,Rebecca Ysteboe,print of result (url) is redundant,print of result (url) is redundant
62,Rebecca Ysteboe,adding same message to dataset_create_new,adding same message to dataset_create_new
